# This file contains some sample data that can be fed into our aligner.
# This file may contain blank lines and comment lines, as long as
# the latter begin with a # symbol followed by a whitespace.
# In this case our data is very small and will be used only as an
# example of the way the program works for new users.
#ʃ é lʲ e s t	t r a n s p a r a n t
# l u n a tʲ í z m	l u n a tʲ í z m a
# l u n á tʲ i k	l u n á tʲ i k a
# l ù n k o k o p á tʲ e lʲ	l ù n k o k o p á tʲ e lʲ a
# l ú n nʲ i k	l ú n nʲ i k a
# l u n o x ó d	l u n o x ó d a
# l ú nʲ	l u nʲ á
# l u o r a vʲ e t l á n	l u o r a vʲ e t l á n a
# l u p a n á r	l u p a n á r a
# l u p u lʲ í n	l u p u lʲ í n a
# l ú ʧʲ	l u ʧʲ á
# l u ʧʲ e z á r n o s tʲ	l u ʧʲ e z á r n o s tʲ i
